Team,BABIP,Year
HOU,.299,2005
HOU,.279,2006
HOU,.296,2007
HOU,.304,2008
HOU,.300,2009
HOU,.282,2010
HOU,.314,2011
HOU,.292,2012
HOU,.292,2013
HOU,.303,2014
HOU,.292,2015
HOU,.291,2016
HOU,.302,2017
HOU,.282,2018
HOU,.308,2019
HOU,.270,2020
MIA,.303,2006
MIA,.317,2007
MIA,.302,2008
MIA,.321,2009
MIA,.318,2010
MIA,.294,2011
MIA,.299,2012
MIA,.283,2013
MIA,.316,2014
MIA,.305,2015
MIA,.296,2016
MIA,.303,2017
MIA,.290,2018
MIA,.308,2019
MIA,.303,2020
SDP,.301,2003
SDP,.286,2004
SDP,.292,2005
SDP,.279,2006
SDP,.281,2007
SDP,.284,2008
SDP,.259,2009
SDP,.288,2010
SDP,.278,2011
SDP,.300,2012
SDP,.287,2013
SDP,.281,2014
SDP,.299,2015
SDP,.297,2016
SDP,.287,2017
SDP,.286,2018
SDP,.281,2019
SDP,.291,2020
SEA,.296,2003
SEA,.293,2004
SEA,.299,2005
SEA,.295,2006
SEA,.313,2007
SEA,.301,2008
SEA,.294,2009
SEA,.289,2010
SEA,.279,2011
SEA,.263,2012
SEA,.281,2013
SEA,.282,2014
SEA,.301,2015
SEA,.294,2016
SEA,.308,2017
SEA,.287,2018
SEA,.295,2019
SEA,.271,2020
ATL,.306,2004
ATL,.319,2005
ATL,.317,2006
ATL,.305,2007
ATL,.317,2008
ATL,.295,2009
ATL,.310,2010
ATL,.300,2011
ATL,.301,2012
ATL,.315,2013
ATL,.303,2014
ATL,.295,2015
ATL,.312,2016
ATL,.308,2017
ATL,.301,2018
ATL,.308,2019
ATL,.330,2020
MIN,.314,2002
MIN,.316,2003
MIN,.295,2004
MIN,.299,2005
MIN,.329,2006
MIN,.291,2007
MIN,.324,2008
MIN,.306,2009
MIN,.315,2010
MIN,.296,2011
MIN,.310,2012
MIN,.303,2013
MIN,.311,2014
MIN,.304,2015
MIN,.292,2016
MIN,.311,2017
MIN,.311,2018
MIN,.295,2019
MIN,.286,2020
