team,ballpark,left,left_center,center,right_center,right,deepest,years
Houston Astros,Minute Maid Park,315,362,436,373,326,436,2000-2016
Houston Astros,Minute Maid Park,315,362,409,373,326,409,2017-present
Miami Marlins,Marlins Park,344,386,418,392,335,422,2012-2015
Miami Marlins,Marlins Park,344,386,407,392,335,407,2016-2019
Miami Marlins,Marlins Park,344,386,400,387,335,400,2020-present
San Diego Padres,Petco Park,336,402,396,402,322,402,2006-2012
San Diego Padres,Petco Park,336,390,396,391,322,396,2013-present
Seattle Mariners,T-Mobile Park,331,390,405,385,326,409,1999-2012
Seattle Mariners,T-Mobile Park,331,378,401,381,326,405,2013-present
Atlanta Braves,Turner Field,335,380,400,390,330,400,1997-2016
Atlanta Braves,Truist  Park,335,385,400,375,325,400,2017-present
Minnesota Twins,Metrodome,343,385,408,367,327,408,1982-2009
Minnesota Twins,Target Field,339,377,404,367,328,411,2010-present
