Team,G,PA,HR,R,RBI,SB,BBrate,Krate,ISO,BABIP,AVG,OBP,SLG,wOBA,wRCplus,WAR,Year,Temp,roof_status,Wind,Ocean,Direction,Deepest,turf_status,Elevation Above Sea Level (ft),Average Humidity,Average Summer Temperature (degrees F),fair_area,foul_area
SEA,1911,6385,264,925,890,89,9.8%,17.4%,0.204,0.305,0.28,0.355,0.485,0.363,116,34.0,1997,67.2,1,0.0,1,northeast,405.0,1.0,14.0,73%,70.0,104.2,28.0
ATL,2208,6315,174,791,755,108,9.5%,18.4%,0.156,0.31,0.27,0.34299999999999997,0.426,0.33799999999999997,101,31.8,1997,80.2,0,7.9,267,north northeast,401.0,0.0,1001.0,55%,88.0,112.1,23.1
CLE,1917,6304,220,868,810,118,9.8%,15.1%,0.18100000000000002,0.309,0.28600000000000003,0.358,0.467,0.36,113,31.3,1997,69.9,0,10.3,373,north,410.0,0.0,653.0,61%,81.0,105.4,21.9
HOU,2164,6363,133,777,720,171,9.9%,17.1%,0.14400000000000002,0.298,0.259,0.344,0.40299999999999997,0.33,100,31.0,1997,74.0,1,0.0,47,north northwest,406.0,1.0,38.0,75%,90.0,109.8,26.9
BOS,1875,6430,185,851,810,68,8.0%,16.2%,0.172,0.325,0.29100000000000004,0.35200000000000004,0.46299999999999997,0.354,109,28.5,1997,69.4,0,10.9,5,northeast,420.0,0.0,20.0,57%,80.0,105.5,18.1
SFG,2249,6296,172,784,746,121,10.2%,17.8%,0.156,0.292,0.258,0.337,0.414,0.32899999999999996,99,27.5,1997,64.3,0,11.8,1,north northeast,415.0,0.0,415.0,68%,67.0,106.1,34.1
BAL,2003,6340,196,812,780,63,9.2%,15.0%,0.16,0.29,0.268,0.341,0.429,0.33799999999999997,102,23.2,1997,75.3,0,4.2,59,northeast,410.0,0.0,130.0,75%,87.0,108.1,23.6
NYM,2268,6248,153,777,741,97,8.8%,16.5%,0.14300000000000002,0.294,0.262,0.332,0.405,0.325,95,22.9,1997,72.8,0,12.0,14,east northeast,410.0,0.0,13.0,63%,83.0,111.3,21.9
NYY,1773,6527,161,891,846,99,10.4%,14.6%,0.15,0.316,0.28600000000000003,0.36200000000000004,0.436,0.35100000000000003,111,22.8,1997,73.7,0,9.4,20,east,408.0,0.0,54.0,63%,83.0,128.9,21.0
MIA,2179,6300,136,740,703,115,10.9%,17.0%,0.135,0.298,0.259,0.34600000000000003,0.395,0.32899999999999996,99,21.9,1997,76.3,0,11.0,1,east,420.0,0.0,3.0,61%,87.0,108.9,24.0
LAA,1879,6387,161,829,775,126,9.7%,14.9%,0.14400000000000002,0.3,0.272,0.34600000000000003,0.41600000000000004,0.336,100,21.6,1997,75.6,0,6.3,20,northeast,400.0,0.0,148.0,55%,81.0,106.7,21.5
STL,2187,6212,144,689,654,164,8.7%,19.2%,0.141,0.299,0.255,0.324,0.396,0.317,87,20.1,1997,78.5,0,7.1,689,south southeast,400.0,0.0,436.0,56%,88.0,112.1,22.7
COL,2232,6338,239,923,869,137,8.9%,16.7%,0.19,0.316,0.28800000000000003,0.35700000000000004,0.478,0.363,95,19.9,1997,73.7,0,6.5,947,north,424.0,0.0,5183.0,37.00%,86.0,119.2,24.9
LAD,2171,6216,174,742,706,131,8.0%,17.4%,0.15,0.304,0.268,0.33,0.418,0.32799999999999996,100,19.7,1997,74.2,0,6.0,16,north northeast,395.0,0.0,522.0,52%,81.0,111.1,19.3
KCR,1929,6295,158,747,711,130,8.9%,16.9%,0.14300000000000002,0.299,0.264,0.33299999999999996,0.40700000000000003,0.327,92,18.6,1997,77.3,0,8.5,648,northeast,400.0,0.0,886.0,66%,87.0,118.5,22.9
WSN,2215,6131,172,691,659,75,6.9%,17.7%,0.16699999999999998,0.29,0.258,0.316,0.425,0.32299999999999995,91,17.9,1997,76.9,2,8.9,262,north,404.0,1.0,95.0,77.6%,77.6,112.5,27.5
TEX,1921,6266,187,807,773,72,8.0%,17.8%,0.16399999999999998,0.309,0.27399999999999997,0.33399999999999996,0.43799999999999994,0.337,95,17.4,1997,84.3,0,9.3,247,east southeast,407.0,0.0,616.0,64%,92.0,112.6,18.9
CHW,2014,6201,158,779,740,106,9.2%,14.5%,0.14400000000000002,0.298,0.273,0.341,0.41700000000000004,0.33399999999999996,100,17.2,1997,71.0,0,11.1,680,southeast,400.0,0.0,596.0,71%,82.0,105.3,25.0
MIL,2085,6097,135,681,643,103,8.1%,15.9%,0.138,0.29100000000000004,0.26,0.325,0.39799999999999996,0.319,86,13.2,1997,73.6,0,10.1,732,southeast,402.0,0.0,593.0,72%,75.0,111.4,29.5
CHC,2353,6098,127,687,642,116,7.4%,16.4%,0.133,0.3,0.263,0.321,0.396,0.315,83,13.2,1997,68.3,0,10.2,684,north northeast,400.0,0.0,135.0,71%,82.0,107.8,18.6
MIN,1963,6267,132,772,730,151,7.9%,17.9%,0.139,0.313,0.27,0.33299999999999996,0.409,0.327,91,12.7,1997,71.3,1,0.0,1016,east,408.0,1.0,840.0,59%,80.0,107.5,34.3
OAK,2045,6369,197,764,714,71,10.1%,18.5%,0.163,0.295,0.26,0.33899999999999997,0.423,0.336,101,12.0,1997,65.6,0,11.1,1,east northeast,400.0,0.0,-21.0,75%,72.0,108.7,40.7
SDP,2209,6373,152,795,761,140,9.5%,17.7%,0.136,0.312,0.271,0.342,0.40700000000000003,0.331,102,11.9,1997,71.5,0,8.5,2,north,411.0,0.0,16.0,76%,74.0,106.9,28.9
CIN,2303,6153,142,651,612,190,8.4%,18.1%,0.13699999999999998,0.292,0.253,0.321,0.389,0.314,85,10.7,1997,74.3,0,7.6,474,east,404.0,1.0,683.0,57%,84.0,110.4,23.3
PHI,2163,6130,116,668,622,92,8.5%,16.8%,0.13,0.293,0.255,0.322,0.385,0.313,82,9.7,1997,75.5,0,9.6,57,east northeast,408.0,1.0,9.0,55%,87.0,109.0,27.8
DET,1846,6190,176,784,743,161,9.3%,18.8%,0.157,0.29600000000000004,0.258,0.332,0.415,0.32899999999999996,93,8.0,1997,70.2,0,9.7,454,north northeast,402.0,0.0,577.0,59%,80.0,108.5,32.4
PIT,2211,6201,129,725,686,160,7.8%,18.7%,0.142,0.308,0.262,0.32899999999999996,0.40399999999999997,0.324,89,6.5,1997,73.4,0,8.0,305,southeast,400.0,1.0,743.0,58%,81.0,111.8,27.3
TOR,1834,6109,147,654,627,134,8.0%,18.6%,0.146,0.28,0.244,0.31,0.389,0.308,81,6.3,1997,70.0,2,9.6,339,north,400.0,1.0,282.0,61%,77.0,109.5,29.0
ATL,1971,6217,215,826,794,98,8.8%,17.1%,0.18100000000000002,0.3,0.272,0.342,0.45299999999999996,0.34600000000000003,108,37.6,1998,80.2,0,7.9,267,north northeast,401.0,0.0,1001.0,55%,88.0,112.1,23.1
NYY,1962,6444,207,965,907,153,10.1%,15.9%,0.172,0.317,0.28800000000000003,0.364,0.46,0.36,116,36.1,1998,73.7,0,9.4,20,east,408.0,0.0,54.0,63%,83.0,128.9,21.0
HOU,2125,6441,166,874,818,155,9.6%,17.4%,0.156,0.321,0.28,0.35600000000000004,0.436,0.34700000000000003,113,35.2,1998,74.0,1,0.0,47,north northwest,406.0,1.0,38.0,75%,90.0,109.8,26.9
SFG,2304,6484,161,845,800,102,10.5%,16.0%,0.147,0.308,0.27399999999999997,0.353,0.42100000000000004,0.34,108,31.2,1998,64.3,0,11.8,1,north northeast,415.0,0.0,415.0,68%,67.0,106.1,34.1
BOS,2043,6302,205,876,827,72,8.6%,16.6%,0.183,0.31,0.28,0.348,0.46299999999999997,0.35200000000000004,107,31.1,1998,69.4,0,10.9,5,northeast,420.0,0.0,20.0,57%,80.0,105.5,18.1
STL,2305,6413,223,810,781,133,10.5%,18.4%,0.183,0.289,0.258,0.341,0.441,0.34,104,28.3,1998,78.5,0,7.1,689,south southeast,400.0,0.0,436.0,56%,88.0,112.1,22.7
TEX,1876,6401,201,940,894,82,9.3%,16.3%,0.17300000000000001,0.321,0.289,0.35700000000000004,0.462,0.35700000000000004,108,27.6,1998,84.3,0,9.3,247,east southeast,407.0,0.0,616.0,64%,92.0,112.6,18.9
CLE,1852,6376,198,850,811,143,9.9%,16.6%,0.17600000000000002,0.302,0.272,0.34700000000000003,0.44799999999999995,0.34700000000000003,103,26.5,1998,69.9,0,10.3,373,north,410.0,0.0,653.0,61%,81.0,105.4,21.9
SEA,1858,6331,234,859,823,115,8.8%,17.1%,0.192,0.302,0.276,0.345,0.46799999999999997,0.353,109,26.0,1998,67.2,1,0.0,1,northeast,405.0,1.0,14.0,73%,70.0,104.2,28.0
BAL,2017,6304,214,817,783,86,9.4%,14.3%,0.174,0.29100000000000004,0.273,0.34700000000000003,0.447,0.34700000000000003,109,24.9,1998,75.3,0,4.2,59,northeast,410.0,0.0,130.0,75%,87.0,108.1,23.6
CHW,1891,6281,198,861,806,127,8.8%,14.6%,0.172,0.29100000000000004,0.271,0.33899999999999997,0.444,0.341,103,23.2,1998,71.0,0,11.1,680,southeast,400.0,0.0,596.0,71%,82.0,105.3,25.0
TOR,1875,6323,221,816,776,184,8.9%,17.9%,0.182,0.295,0.266,0.34,0.44799999999999995,0.34299999999999997,102,22.1,1998,70.0,2,9.6,339,north,400.0,1.0,282.0,61%,77.0,109.5,29.0
CHC,2283,6394,212,831,788,65,9.4%,19.1%,0.16899999999999998,0.302,0.264,0.337,0.433,0.336,100,21.7,1998,68.3,0,10.2,684,north northeast,400.0,0.0,135.0,71%,82.0,107.8,18.6
CIN,2270,6269,138,750,723,95,9.7%,17.7%,0.14,0.303,0.262,0.337,0.402,0.326,92,18.3,1998,74.3,0,7.6,474,east,404.0,1.0,683.0,57%,84.0,110.4,23.3
NYM,2278,6257,136,706,671,62,9.1%,16.8%,0.135,0.295,0.259,0.33,0.39399999999999996,0.318,93,17.5,1998,72.8,0,12.0,14,east northeast,410.0,0.0,13.0,63%,83.0,111.3,21.9
SDP,2282,6245,167,749,715,79,9.7%,17.2%,0.155,0.285,0.253,0.33,0.409,0.325,99,17.0,1998,71.5,0,8.5,2,north,411.0,0.0,16.0,76%,74.0,106.9,28.9
DET,1897,6243,165,722,691,122,7.3%,17.1%,0.152,0.297,0.264,0.32299999999999995,0.415,0.324,90,16.6,1998,70.2,0,9.7,454,north northeast,402.0,0.0,577.0,59%,80.0,108.5,32.4
MIL,2277,6232,152,707,673,81,8.5%,16.7%,0.136,0.294,0.26,0.33,0.396,0.321,91,16.5,1998,73.6,0,10.1,732,southeast,402.0,0.0,593.0,72%,75.0,111.4,29.5
PHI,2166,6300,126,713,672,97,8.1%,17.1%,0.131,0.303,0.264,0.326,0.395,0.317,87,16.0,1998,75.5,0,9.6,57,east northeast,408.0,1.0,9.0,55%,87.0,109.0,27.8
COL,2326,6277,183,826,791,67,7.5%,15.1%,0.16899999999999998,0.321,0.29100000000000004,0.34700000000000003,0.461,0.35100000000000003,87,13.7,1998,73.7,0,6.5,947,north,424.0,0.0,5183.0,37.00%,86.0,119.2,24.9
TBR,1982,6157,111,620,579,120,7.7%,18.0%,0.12300000000000001,0.306,0.261,0.321,0.385,0.312,83,13.6,1998,72.0,1,0.0,7,northeast,412.0,1.0,43.0,63%,90.0,108.9,25.3
WSN,2319,6042,147,644,602,91,7.3%,17.5%,0.145,0.28300000000000003,0.249,0.31,0.39399999999999996,0.309,83,12.5,1998,76.9,2,8.9,262,north,404.0,1.0,95.0,77.6%,77.6,112.5,27.5
LAD,2096,6077,159,669,630,137,7.4%,17.4%,0.136,0.28300000000000003,0.252,0.31,0.387,0.307,88,12.2,1998,74.2,0,6.0,16,north northeast,395.0,0.0,522.0,52%,81.0,111.1,19.3
ARI,2067,6116,159,665,621,73,8.0%,20.3%,0.146,0.29,0.24600000000000002,0.314,0.39299999999999996,0.311,82,10.4,1998,81.1,2,8.1,372,north,413.0,0.0,1082.0,37%,102.0,114.2,25.5
MIA,2202,6228,114,667,621,115,8.4%,18.0%,0.124,0.29100000000000004,0.248,0.317,0.373,0.306,85,10.0,1998,76.3,0,11.0,1,east,420.0,0.0,3.0,61%,87.0,108.9,24.0
OAK,1908,6283,149,804,755,131,10.1%,17.9%,0.14,0.29600000000000004,0.257,0.33799999999999997,0.397,0.327,94,8.5,1998,65.6,0,11.1,1,east northeast,400.0,0.0,-21.0,75%,72.0,108.7,40.7
LAA,1884,6280,147,787,739,93,8.1%,16.4%,0.14400000000000002,0.308,0.272,0.335,0.415,0.33,94,8.2,1998,75.6,0,6.3,20,northeast,400.0,0.0,148.0,55%,81.0,106.7,21.5
KCR,2001,6191,134,714,686,135,7.7%,15.9%,0.136,0.295,0.263,0.324,0.39899999999999997,0.319,85,7.3,1998,77.3,0,8.5,648,northeast,400.0,0.0,886.0,66%,87.0,118.5,22.9
PIT,2162,6113,107,650,613,159,6.4%,17.3%,0.121,0.294,0.254,0.311,0.374,0.304,78,5.6,1998,73.4,0,8.0,305,southeast,400.0,1.0,743.0,58%,81.0,111.8,27.3
MIN,1838,6263,115,734,691,112,8.1%,14.6%,0.12300000000000001,0.297,0.266,0.32799999999999996,0.389,0.317,83,-4.5,1998,71.3,1,0.0,1016,east,408.0,1.0,840.0,59%,80.0,107.5,34.3
CLE,1859,6554,209,1009,960,147,11.3%,16.8%,0.177,0.32299999999999995,0.289,0.373,0.467,0.36700000000000005,112,34.4,1999,69.9,0,10.3,373,north,410.0,0.0,653.0,61%,81.0,105.4,21.9
CIN,2274,6378,209,865,820,164,8.9%,17.6%,0.179,0.304,0.272,0.341,0.451,0.344,96,30.8,1999,74.3,0,7.6,474,east,404.0,1.0,683.0,57%,84.0,110.4,23.3
NYM,2323,6454,181,853,814,150,11.1%,15.4%,0.156,0.308,0.27899999999999997,0.363,0.434,0.35,105,29.7,1999,72.8,0,12.0,14,east northeast,410.0,0.0,13.0,63%,83.0,111.3,21.9
BAL,1958,6409,203,851,804,107,9.6%,13.9%,0.16899999999999998,0.298,0.27899999999999997,0.353,0.447,0.35,107,28.9,1999,75.3,0,4.2,59,northeast,410.0,0.0,130.0,75%,87.0,108.1,23.6
